Rating,description,description_no_stopwords,description_no_stopwords_stemmed
3,unions representing workers at turner newall say they are disappointed after talks with stricken parent firm federal mogul,unions representing workers turner newall say disappointed talks stricken parent firm federal mogul,union repres worker turner newal say disappoint talk stricken parent firm feder mogul
4,space com toronto canada a second team of rocketeers competing for the million ansari x prize a contest for privately funded suborbital space flight has officially announced the first launch date for its manned rocket,space com toronto canada second team rocketeers competing million ansari x prize contest privately funded suborbital space flight officially announced first launch date manned rocket,space com toronto canada second team rocket compet million ansari x prize contest privat fund suborbit space flight offici announc first launch date man rocket
4,ap a company founded by a chemistry researcher at the university of louisville won a grant to develop a method of producing better peptides which are short chains of amino acids the building blocks of proteins,ap company founded chemistry researcher university louisville grant develop method producing better peptides short chains amino acids building blocks proteins,ap compani found chemistri research univers louisvill grant develop method produc better peptid short chain amino acid build block protein
4,ap it s barely dawn when mike fitzpatrick starts his shift with a blur of colorful maps figures and endless charts but already he knows what the day will bring lightning will strike in places he expects winds will pick up moist places will dry and flames will roar,ap barely dawn mike fitzpatrick starts shift blur colorful maps figures endless charts already knows day bring lightning strike places expects winds pick moist places dry flames roar,ap bare dawn mike fitzpatrick start shift blur color map figur endless chart alreadi know day bring lightn strike place expect wind pick moist place dri flame roar
4,ap southern california s smog fighting agency went after emissions of the bovine variety friday adopting the nation s first rules to reduce air pollution from dairy cow manure,ap southern california smog fighting agency went emissions bovine variety friday adopting nation first rules reduce air pollution dairy cow manure,ap southern california smog fight agenc went emiss bovin varieti friday adopt nation first rule reduc air pollut dairi cow manur
4,wiltshire police warns about phishing after its fraud squad chief was targeted,wiltshire police warns phishing fraud squad chief targeted,wiltshir polic warn phish fraud squad chief target
4,in its first two years the uk s dedicated card fraud unit has recovered stolen cards and arrests and estimates it saved m,first two years uk dedicated card fraud unit recovered stolen cards arrests estimates saved,first two year uk dedic card fraud unit recov stolen card arrest estim save
4,los angeles reuters apple computer inc lt aapl o gt on tuesday began shipping a new program designed to let users create real time motion graphics and unveiled a discount video editing software bundle featuring its flagship final cut pro software,los angeles reuters apple computer inc lt aapl gt tuesday began shipping new program designed let users create real time motion graphics unveiled discount video editing software bundle featuring flagship final cut pro software,los angel reuter appl comput inc lt aapl gt tuesday began ship new program design let user creat real time motion graphic unveil discount video edit softwar bundl featur flagship final cut pro softwar
4,amsterdam reuters free record shop a dutch music retail chain beat apple computer inc to market on tuesday with the launch of a new download service in europe s latest battleground for digital song services,amsterdam reuters free record shop dutch music retail chain beat apple computer inc market tuesday launch new download service europe latest battleground digital song services,amsterdam reuter free record shop dutch music retail chain beat appl comput inc market tuesday launch new download servic europ latest battleground digit song servic
4,a giant km colony of ants which has been discovered in melbourne australia could threaten local insect species,giant km colony ants discovered melbourne australia could threaten local insect species,giant km coloni ant discov melbourn australia could threaten local insect speci
