Text	Class	NACE
company shall conduct computer programming computer consulting business development of system technical consultancy within elteknik as well as other science and technical research and development	1.0	6
the company s main activity is the development production and sale of electronic instruments for measuring pressure temperature and level of production processes in the process industry in addition the company negotiates instruments to supplement its own products within the exercise and sensor segments	0.0	2
the company s main activity is to produce measuring equipment to measure industrial environmental impacts	0.0	4
like previous years the principal activity of the company has been development and marketing of software solutions for industrial purposes as well as software for products	0.0	6
problem solving with state of the art ai top data science is trusted by world class companies to achieve competitive advantage and fast time to market	1.0	6
with growing volumes of data video intelligence ai helps businesses to manage and grow their video business safely valossa video ai	1.0	6
like previous years the principal activities are development of facial recognition software	1.0	6
we are an innovative finnish hardware and software development company with specialized expertise in embedded systems using ai and graphics programming	1.0	2
we are technologists who develop absolute it solutions without compromising your business requirements and objectives we use the latest tools and	0.0	6
smart eye february for our swe followers link pings universitet is one of many institutions all over the world that uses smart eye s research instruments to deepen their understanding of human behavior in this news story from svt lothar meyer	1.0	6
creating an ecosystem for collaboration to drive innovation and strengthen competitiveness our aim is to accelerate development and enable technology growth in industrial automation robotics and energy	0.0	7
swimeye is a drowning detection and drowning prevention system for swimming pools it works like an extra lifeguard under the sufrace of your pool	1.0	4
cipherstone technologies computer vision and machine learning consultancy services	1.0	5
visage technologies is a world renowned provider of specialized face tracking analysis and recognition solutions and custom development services	1.0	6
company should develop and sell bildanalysalgoritmer and consult and educate within this area and thereby compatible activities	1.0	6
company should offer consulting services within media production and analysis of communication needs communication strategy as well as thereby compatible activities company should even buy sell and manage securities as well as thereby compatible activities	1.0	5
the company will manage the sale of automatic components and conduct compatible operations	0.0	4
customised industrial smart cameras and application specific vision solutions for the distinctive needs and requirements of each client	1.0	2
company purpose is to drive engineer and consultancy within renewable energy	0.0	7
we are a leading provider of subsea solutions and offshore wind technology that helps operators maintain production from subsea oil gas fields and offshore wind farms	0.0	7
the enwagroup drills energy efficient and environmentally friendly water treatment systems and is one of scandinavia s leading water treatment and water treatment companies	0.0	7
the company s main activity is trade production and consultancy work in aquaculture and water treatment	0.0	2
talmo develops robust and high performance software for computer vision systems within defense surveillance entertainment multimedia and industrial automation based on expert knowledge in computer vision and machine learning and applies best practices in software engineering	1.0	6
esmart systems is transforming the way the world s leading energy providers inspect and maintain critical infrastructure	1.0	6
in line inspection for automotive industry measure everything waste nothing save time and money change in line inspection forever with mapvision	1.0	2
at jabil we strive to be the most technologically advanced and trusted manufacturing solutions provider	0.0	7
at nmt el service we specialise in electrical solutions for selected areas and industries that require unique insight and experience	0.0	4
offers senior level it consulting in e services	0.0	6
teoteam oy is an engineering office operating in the southern finland region we design and manufacture electrical and automation systems and	0.0	7
when information work needs to be done regardless of time and place kauko innovates and provides seamlessly functioning equipment and software for top professionals	0.0	4
from edge to cloud innovative solutions within sensors industrial communications tail or made industrial computers for harsh environments	0.0	2
flir is the world leader in the design manufacture and marketing of thermal imaging infrared cameras fdsa	1.0	2
jumo is your professional partner and producer within givarteknik and automation solutions for temperature press and liquids	0.0	4
the company s activities are to sell computers and other electronic devices	0.0	4
the company s main business area is the sale of measuring and regulatory engineering equipment purchased from the parent company and the sister company	0.0	4
dewesoft is the leading provider of high end data acquisition systems daq daq software see our flexible turn key test and measurement solutions	0.0	7
safeteam is a security company that offers security solutions for multi residential buildings companies and public properties contact us for more information	0.0	4
reliable partner we worked nordic automaatiomarkkinoilla since from years active kentt ty is taught us nordic industry needs and react quickly also new suuntauksiin	1.0	4
at thingfarm we make things intelligent we deliver connectivity and enable efficient management of the connectivity needed within internet of things	0.0	6
the company has the task of developing manufacturing and selling equipment for non contact measurement itself and through wholly and partly owned companies as well as carrying out compatible operations	1.0	2
company shall conduct development manufacture and marketing of optical instruments intended for microscopy image processing and installations as well as thereby compatible activities	0.0	2
scape technologies a s is a robotics company whose main activities are development and sale of standardised and modular bin picking systems these are based on d computer vision combined with gripper technology and advanced robot control complemented with a series of hardware modules which are part of the overall solution	0.0	6
continental group automotive technologies autonomous mobility and safety vehicle networking and information continental industry vitesco technologies continental tires supplier information psirm website overview safe connected convenient automotive board overview about us management board	0.0	7
company purpose is to drive company within trade industry and services	1.0	2
hatteland technology is a global provider of industrial technologies to system integrators within a wide range of industries hatteland technology is the result of a merger between hatteland display and elektronix	0.0	2
mediatek is the world s th largest global fabless semiconductor company and powers more than billion devices a year	0.0	6
about nebb nebb provide total solutions for industrial controls and information management systems to numerous industries including process industry food pharma marine oil gas and pmc our core competence lies within automation electrical instrumentation scada software and information systems	0.0	7
autonomy we develop ai technology for machines operating in uncontrolled and harsh environments	1.0	6
the company is subject to its operations to develop manufacture and sell complete solutions for control and control to the sawmill industry through wholly and partly owned companies as well as to conduct compatible operations	0.0	6
visionsystem dv from division ab machine vision system for automatic inspection robotguidning measurement robot guidance and identification	0.0	6
leading k digital microscope technology why inspectis inspectis digital microscopes are elegant solutions for modern optical inspection tasks we manufacture carefully	0.0	2
being the obvious solution to every image analysis application when motion counts customer survey dear all we are interested to hear your thoughts on our products therefore we would like to invite you to complete a short survey which will take about minutes of your time to start the survey	1.0	6
offers parallel processor integrated circuit technology embedded systems and algorithms for the next level of image sensing and processing	0.0	7
ivisys a machine vision company providing fully automated quality control inspection machines industrial vision systems	0.0	7
prediktera provides a complete suite of software to support your workflow and development process in chemical imaging ranging from research and lab analysis to integrated realtime industry applications	0.0	6
advacam works in semiconductor sensor production packaging radiation camera production and development of new radiation imaging solutions	0.0	2
qoco helps the aviation industry to succeed in the changing world by creating new ways to work to communicate and to utilise data	0.0	6
procemex is the world leader in web inspection web break monitoring and machine vision applications for pulp paper and print industries	1.0	2
the company shall directly or indirectly through wholly or partly owned companies develop manufacture and sell microprocessor based products own and manage real estate and undertake compatible operations	0.0	7
we help you make your job easier and safer using service management and it security solutions	0.0	6
in assumed recab metric industrial recab have a greater option with experts and to to create tailors with a complete engineering team	0.0	4
specim provides the broadest range of hyperspectral imaging cameras systems accessories and are a trusted partner with superb quality and cost efficiency	0.0	2
