Text	Class	NACE
dxc technology helps global companies run their mission critical systems and operations while modernizing it optimizing data architectures and ensuring security and scalability across public private and hybrid clouds	0.0	6
the purpose of the company is to carry out consultancy activities to provide management consultancy services to other undertakings and to other related undertakings	1.0	7
sykes creates intelligent cx for brands across the globe through digital marketing sales expertise customer service and technical support bpo solutions	0.0	8
we help organizations manage critical information within identity access and privilege management	0.0	6
qvest advises and supports organizations and companies worldwide on the requirements in the context of digital transformation and is a leading global systems architect ict integrator and developer of software solutions in the innovation driven media industry	0.0	6
a global leader in consulting technology services and digital transformation we offer an array of integrated services combining technology with deep sector expertise	1.0	6
a digital product engineering leader nagarro drives technology led business breakthroughs for industry leaders and challengers through agility and innovation	1.0	4
gaia is a digitization agency in norrk ping that creates great digital experiences and solutions that change and do good	0.0	7
the company s purpose is to acquire and implement it solutions or other related business according to the management	0.0	6
the company s activities have comprised like in previous years consultancy within innovation management consulting and technology services	1.0	7
infosys is a global leader in next generation digital services and consulting	1.0	6
the company is part of a global group which works with management consultancy services system integration and outsourcing	1.0	7
isobar denmark is a digital agency our mission is to set new standards for customer relations based on insight and technology isobar denmark has three distinct business areas campaigns marketing automation and platforms	1.0	6
our mission is to bring the benefits of state of the art machine learning and artificial intelligence to every organization	1.0	6
company shall conduct analysis strategic counseling regard environment and social questions as well as conduct thereby compatible activities	1.0	7
mckinsey company is the trusted advisor and counselor to many of the world s most influential businesses and institutions	1.0	7
gaia is a consultancy for sustainable business whose clients make the world cleaner and safer	1.0	7
we are experts in environmental impact and mining technology so that our partners can focus on building a future society	1.0	7
gp strategies nordic a s is a provider of human capital management solutions including sales and support of the full sap successfactors business execution bizx platform elearning and blended learning solutions	1.0	6
gartner danmark aps is part of the world s leading information technology research and advisory company	1.0	6
we believe in the good business and an efficient construction sector without waste where valuable insights and experiences are recycled for a sustainable construction of society	1.0	7
navigio is one of the leading nordic consultancies within executive search leadership services performance management and strategy organization	1.0	7
the company s objective is to offer international consultancy for all types of enterprises especially with regard to their development and appointment of managerial employees as well as all activities the supervisory board finds related thereto	1.0	7
we partner with clients like electrolux orkla and ikea to create digital solutions with quantifiable business value in cmss including wordpress episerver and drupal	1.0	6
we are a leading global professional services firm providing a broad range of risk retirement and health solutions	1.0	6
international organisation of audit offices	0.0	6
