Text	Class	NACE
on kompar helps we small and midsize company to compare corporate loans fill in a application and get deals from several lenders completely free have you questions helps a of our advisor gladly to over email or phone	1.0	7
get a coop account with overdraft apply about a coop bank debit card or a loans with low interest rate read more about they many products in coop bank click here	0.0	6
the company s purpose is to produce and operate it and it related products	1.0	6
univest provides a full range of banking insurance investment solutions browse our online banking services or find a location near you	0.0	6
briqpay is a b b e commerce solution that delivers great user experiences for business to business sales online control the user journey with briqpay	1.0	5
the future of payments contactless wearables with nfc technology tapster offers contactless payment rings and watch straps and keyrings in premium leather or canvas tapster makes payments smoother faster and safer just tap it	1.0	7
we is nordic leading actor of endowment within unlisted shares funds and bonds welcome to a smarter way to manage investment	1.0	6
company shall conduct cyber and consultancy within they private and public sectors regard administration investment organization technology and kvalitetsutvecklingsfr gor as well as thereby compatible activities	1.0	6
digishares provides a software solution that is used through the issuance process digishares is your trusted white label tokenization partner through ongoing management of the real estate tokenized shares	1.0	5
the purpose of the company is to carry out financing and investment as well as all related activities	1.0	6
digital accountor offers online tools that help individuals and businesses with advance payments tax returns and annual reports read more here	1.0	6
with spenderlog takes you driver s seat in your economy it is single you share your consumption and spenderlog gives you insight into in your habits and your opportunities for to consume smarter	1.0	6
with mymonii spending and pay app teacher your children about value of money on a fun easy and digital way came free in walk with lommepengeappen	1.0	6
power to your people with pleos smart company credit cards our complete solution for all corporate expenses simplify your accounting pleo it	1.0	6
dream you about to be self or purchase competitors or maybe would you to sell your company before your plans out in life with saxis locate a advisor there can help you or complete your virksomhedshandel on danish most user friendly platform for buy and sale of companies	1.0	6
viabill is a payment method that allows you to shop as many times you want for up to kr viabill allows you to buy now and pay later when you pay back to viabill you pay in equal monthly payments without interest	1.0	6
b b payments for exporters save time and money on international b b payments with your own virtual iban in europe with direct access to sepa countries	1.0	6
ikano bank offers credit cards and the use of private clothing as well as leasing refining and shopping cards for companies	0.0	6
lunar s banking app makes managing your spending budget and savings easy with its sublime user experience for both personal and business finance	1.0	6
easybank helps you with the financial solutions for smb unsafe loans and sparring	0.0	6
arbejdernes landsbank is a bank that offers loan saving accounts and financial advice	0.0	6
the company holds shares and makes investments in other similar activities	1.0	6
danish first l neplatform before for crowdfunding and crowdlending where investors can invest in private borrowers a new alternative to bank	0.0	6
borrow money save or collect your loans and credits at marginalen bank with us you get savings and we offer credit cards and debit cards	0.0	7
the aim of the south abb is to ensure the best possible economic conversion of the activities entrusted to sydbank a s	0.0	6
for you with multiple consumer and small loans the best solution can be to refinance them express bank will be happy to help you test our calculator and apply for refining here	0.0	6
in coop bank you can manage your daily finances payments save up and borrow money for your consumption when needed	0.0	6
the need for use credit cards or collect all the borrowers do this for us with good conditions and good interest application will put into this web page	0.0	6
ecster offers payment solutions for consumers and sales companies together with our customers we develop and refine our products and services to create better shopping experiences	1.0	6
the company shall carry out subcontracting trade in securities movable property mainly inventory and immovable property and engage in other compatible activities	1.0	7
bank offering consumer loans credit cards and loans without security get our best interest rate to you from num and answer immediately by searching directly	0.0	6
borrow money save or collect your loans and credits at marginalen bank with us you get savings and we offer credit cards and debit cards become a customer today	0.0	7
dnb norwegian largest bank collect all your banking at us and get our best advice custom your economy	0.0	7
at ellos you will find a large selection of shoes and clothes in all sizes and at good prices also visit our home sharing with everything to your home	0.0	4
storebrand is a leading player in the nordic market for long term savings and insurance	0.0	6
start brushes and buy them you need we help you make smart choices for a better economy	0.0	6
nordea bank offers online banking insurance products as well as information to investors	0.0	6
kameo offers loans to companies and property projects and you may be able to invest look with certainty and expected return	0.0	8
the company shall own manage and administer instruments to be used in incentive programmes for personnel of the group to which the company belongs and conduct compatible operations	0.0	n
santander is a norwegian bank and it is mostly on car loans in norway we are specialists on car loans consumer smooth credit card and sparring	0.0	6
the company s main activities are the establishment and operation of an electronic trading platform for facilitating corporate loans and credit directly from investors to companies	0.0	6
you can found a aps for only in day we orders all registrations for you get cvr in day came quickly and safely in walk	0.0	6
pensam consists of both pension bank and insurance all foa members and their families can become customers	0.0	6
daily banking s tili s etucard visa online bank and s mobile are free of charge for all customer owners of the co operatives	0.0	6
seraphim finans offers financial solutions to companies and consumers in sweden a long term partner since	0.0	6
sparekassen vendyssel is a bank they offer loans and other financial services	0.0	6
vertaaensin fi help you save money referencing rahoitustuotteita discover you rates guaranteed loan credit card or electricity contract	1.0	6
if you need a lite loan this is the right place	0.0	6
pay or charge with the help of resource bank we help over partners and million customers every day welcome in too	0.0	7
the application couldn t be any simpler the only thing you need to do is to identify yourself with internet bank codes and share your bank account details with	0.0	6
borrow money with high expected return secure free of charge	0.0	6
skjern bank provides their customers with loans and other financial services and advice	0.0	6
borrow money at ikano bank we offer private loans and low interest car loans you can also collect your loans with us apply for a credit card or open a savings account	0.0	7
search and compare best consumer loans without security at norfinance we have assessed the best consumer loans and have norway s most comprehensive loan guides for small loans refining and credit cards	0.0	6
pay your invoices and discover more of qliro loans without installation fee and savings accounts with really good interest rate	1.0	6
deliver one application get the best offer of banks axo finds good conditions on consumption and refining	0.0	6
we get good digital solutions in everyday life we are also concerned that you should have a personal advisor you can talk to talk to us about housing savings pension insurance and property	0.0	6
lollands bank provides their customers with loans and other financial services and advice	0.0	6
fellow finance is a marketplace for consumers and companies seeking loans and for investors seeking interest income	0.0	6
gf money flexible gf money is a nordic fintech group that works in the field of credit to individuals and companies financial services and real estate investments gf money operates in finland sweden and denmark the gf money sphere includes brands such as lainasto west house nordcredit gf property and smsmoney	0.0	6
the company shall provide credit to consumers and others including by providing consumer credit credit purchase and other financing through credit acquiring funds for financing purposes and carrying out compatible activities	0.0	6
enjoy the benefits of being a keybank client we offer checking savings accounts credit cards insurance and loans open your keybank account today	0.0	7
klp started as a splicing layer of small municipalities all over the country today we are norway s largest pension companies we re a different company because our customers own us all our value creation benefits customers	0.0	6
through a application get you deals from several lenders and choose it loans as fit you best completely free	0.0	6
