Firmnav ID;Rating;AI search
NO996343545;1.0;Initial
NO988943037;1.0;Initial
SE5567101133;1.0;Initial
SE5566286919;1.0;Initial
DK38973231;1.0;Initial
DK37504149;1.0;Initial
DK36910097;1.0;Initial
FI20821316;1.0;Initial
SE5590053376;1.0;Positive
SE5568401433;1.0;Positive
SE5567761811;0.0;Neutral
SE5561871012;0.0;Negative
DK30575679;1.0;
SE5565758371;1.0;
DK33063288;0.0;
NO991711392;0.0;
DK36718285;1.0;
NO983298664;0.0;
SE5567127823;1.0;
DK25086317;0.0;
FI24214580;1.0;
DK38898701;1.0;
FI27183214;1.0;
NO998927854;1.0;
FI27580682;1.0;
FI20734247;0.0;
FI22588407;1.0;
FI20865474;0.0;
FI06620331;1.0;
DK26382823;0.0;
DK32842070;1.0;
DK28845936;0.0;
FI20039498;0.0;
FI06413949;0.0;
FI01006500;0.0;
SE5566767967;0.0;
NO992102403;1.0;
NO984157789;0.0;
DK20366532;0.0;
DK71243419;0.0;
FI16457849;1.0;
SE5567054571;1.0;
SE5591214688;0.0;
SE5563361681;0.0;
FI25489009;0.0;
NO915700357;;
FI29078581;1.0;
NO916823320;0.0;
DK17990985;0.0;
SE5563194041;1.0;
SE5569826844;;
SE5566366943;;
FI16043021;;
FI16112357;;
FI08480432;;
FI17870723;;
NO997371658;;
DK27587887;;
SE5560148214;;
DK35055223;;
SE5590856828;;
NO832538132;;
SE5590350079;;
DK81199310;;
FI09799015;;
FI04135690;;
SE5590331988;;
DK27446434;;
SE5569997090;;
SE5590698865;;
FI23906163;;
DK26990181;;
SE5569853285;;
NO986181121;;
SE5590023767;;
DK32568327;;
FI23943511;;
NO922739943;;
NO974533146;;
FI03624601;;
NO979686250;;
SE5563685246;;
SE5563325546;;
FI26290819;;
SE5565042941;;
NO977337798;;
DK10109124;;
FI26398221;;
NO989527460;;
DK34894221;;
DK29973342;;
SE5562082619;;
FI06061672;;
DK37574929;;
SE5562419365;;
DK40123695;;
FI08828611;;
FI23522215;;
SE5562122126;;
DK36982764;;
SE5567123269;;
SE5568181084;;
SE5562099977;;
DK10059909;;
NO981598717;;
SE5565375812;;
NO991016791;;
FI14925282;;
DK29447675;;
SE5562182161;;
FI24832127;;
SE5565865531;;
DK34604800;;
SE5566105655;;
DK36078863;;
NO992240431;;
DK24210022;;
DK17061240;;
SE5568338346;;
SE5560912304;;
DK25363310;;
DK33376693;;
NO992411309;;
SE5590592357;;
SE5566139654;;
SE5565529640;;
SE5564429388;;
SE5566781463;;
SE5568527013;;
SE5591530760;;
SE5590238548;;
SE5560580432;;
DK17930745;;
SE5565901559;;
SE5566980354;;
DK38682733;;
DK25600568;;
DK29418942;;
NO963156235;;
FI20594408;;
FI24738034;;
DK32157688;;
SE5564120771;;
DK31759242;;
FI10723253;;
FI23477362;;
SE5566104252;;
DK43253018;;
SE5569826844;1.0;
DK27446434;1.0;
FI17870723;0.0;
SE5565505400;1.0;
SE5590698865;0.0;
DK29973342;1.0;
NO989527460;1.0;
NO914079845;1.0;
FI23821450;0.0;
SE5568037898;0.0;
DK27587887;0.0;
FI26290819;0.0;
NO977337798;0.0;
NO998695449;0.0;
SE5569387664;0.0;
FI24778474;0.0;
FI22926197;0.0;
FI16201990;1.0;
SE5566105655;0.0;
SE5590350079;0.0;
NO991137092;0.0;
SE5562411065;0.0;
NO918954430;0.0;
SE5566366943;0.0;
DK19989305;0.0;
SE5590238548;0.0;
NO990624100;0.0;
NO918315403;0.0;
FI10079234;0.0;
DK13072779;0.0;
SE5565441390;0.0;
FI10783504;0.0;
NO974533146;0.0;
DK10969042;1.0;
DK29142068;1.0;
SE5590156104;1.0;
SE5590856828;0.0;
FI25788738;0.0;
FI19403934;1.0;
DK32449891;1.0;
NO922739943;0.0;
DK24230430;0.0;
FI19597863;0.0;
SE5566222609;0.0;
DK37519111;0.0;
NO917072833;0.0;
DK25275071;0.0;
SE5591402200;0.0;
NO992411309;0.0;
DK25682025;0.0;
SE5562419365;0.0;
NO912364356;0.0;
SE5590319017;0.0;
