Firmnav ID;Rating;AI search
NO917616647;1.0;Initial
SE5591524029;1.0;Initial
SE5567913198;1.0;Initial
DK32284671;1.0;Initial
DK20921897;1.0;Initial
FI09808612;1.0;Initial
FI01081666;1.0;Initial
NO974787407;1.0;Initial
DK33051034;1.0;
DK27132154;1.0;
DK12516835;1.0;
DK38761277;1.0;
SE5568103716;1.0;
DK34878374;1.0;
FI20801251;1.0;
NO976389387;0.0;
DK25533267;1.0;
DK34458812;1.0;
SE5567209357;1.0;
DK73548519;1.0;
FI27760894;0.0;
SE5566577499;0.0;
DK35209352;0.0;
DK39271001;;
NO919637226;0.0;
NO991472576;1.0;
DK19754979;1.0;
SE5567074165;1.0;
NO991661557;1.0;
NO993903264;0.0;
NO891482922;1.0;
SE5562474519;1.0;
SE5567211965;1.0;
SE5568658883;0.0;
SE5563679744;1.0;
DK34477396;0.0;
DK30714520;1.0;
DK26998549;0.0;
DK37369101;0.0;
NO946063940;0.0;
FI10772338;1.0;
NO958958455;0.0;
SE5564796802;0.0;
SE5563115020;1.0;
SE5560923053;1.0;
NO985527164;1.0;
DK25606965;1.0;
DK30987225;0.0;
DK38814486;0.0;
FI24172181;;
NO943574537;;
SE5566873799;;
SE5563027241;;
DK32894267;;
DK67404912;;
NO887448892;;
SE5564392099;;
FI26126349;;
SE5565470761;;
SE5566557509;;
SE5564799475;;
FI21970698;;
DK21830445;;
SE5567329312;;
DK37911984;;
DK32932770;;
DK31160502;;
DK36495707;;
DK39143127;;
FI25754458;;
DK10398401;;
DK15231599;;
DK29972516;;
SE5568409840;;
DK41176245;;
DK38707701;;
SE5568995400;;
NO958736983;;
SE5565283883;;
NO871579792;;
NO883430972;;
SE5590929641;;
SE5566702147;;
FI17187676;;
DK10035511;;
DK31263352;;
DK30554256;;
SE5565161675;;
DK20320346;;
DK26280397;;
DK30557271;;
DK26585848;;
NO899252292;;
SE5568019003;;
NO976886240;;
FI17870897;;
DK51512413;;
NO815898672;;
NO917077274;;
DK26787610;;
SE5566815725;;
SE5566673074;;
DK19948692;;
DK11077285;;
DK39387077;;
NO986419616;;
SE5563372191;;
FI28244269;;
FI22439209;;
SE5591629760;;
DK40121757;;
DK36090006;;
DK31276578;;
DK36076011;;
NO980053784;;
SE5565465472;;
DK39006650;;
FI28551402;;
SE5569794562;;
SE5590671995;;
DK32263062;;
SE5566940044;;
DK38230670;;
DK34058113;;
SE5591020333;;
DK18609703;;
SE5566577200;;
SE5560574880;;
SE5562315696;;
NO995729784;;
SE5565669859;;
NO981953134;;
SE5566379201;;
SE5590051164;;
DK21265543;;
SE5567064885;;
DK29168709;;
DK39594978;;
NO994202367;;
DK21861235;;
SE5568074008;;
SE5567815351;;
DK37157449;;
DK38926411;;
DK21412783;;
SE5566803895;;
DK67404912;1.0;
DK32304761;1.0;
NO943574537;1.0;
SE5564799475;1.0;
NO958736983;1.0;
DK37087726;1.0;
DK36076011;1.0;
NO997595130;1.0;
DK36055855;1.0;
DK32940137;1.0;
NO986419616;1.0;
DK34704112;1.0;
SE5565283883;0.0;
DK30733177;1.0;
DK25578198;0.0;
DK13227500;1.0;
DK40604227;1.0;
DK30557271;0.0;
SE5569977241;1.0;
DK38926411;1.0;
SE5560535873;0.0;
NO983545173;1.0;
DK37045187;1.0;
FI05909643;1.0;
SE5590170170;1.0;
SE5566455399;1.0;
SE5565161675;0.0;
DK37911984;0.0;
SE5566940044;1.0;
DK32339042;0.0;
DK38568450;0.0;
DK33162014;1.0;
FI26126349;1.0;
DK32361684;1.0;
SE5562540673;1.0;
DK60997918;1.0;
