Firmnav ID;Rating;AI search
SE5592495336;1.0;Initial
SE5592375165;1.0;Initial
SE5591840003;1.0;Initial
SE5591574784;1.0;Initial
SE5565201034;1.0;Initial
DK40623620;1.0;Initial
DK40516980;1.0;Initial
DK39650517;1.0;Initial
DK38710168;1.0;Initial
DK38453041;1.0;Initial
DK37264628;1.0;Initial
DK37231436;1.0;Initial
DK37226939;1.0;Initial
DK36538686;1.0;Initial
DK35654135;1.0;Initial
DK33353448;1.0;Initial
DK33245564;1.0;Initial
FI27344874;1.0;Initial
NO993417262;0.0;Initial
DK38808117;1.0;Initial
NO986144706;0.0;
DK31467012;0.0;
DK30832019;1.0;
DK35644474;0.0;
SE5561284349;0.0;
NO998997801;0.0;
DK81753512;0.0;
NO991682511;0.0;
DK34887969;0.0;
NO984150865;0.0;
SE5569932311;1.0;
SE5563563880;1.0;
NO991455671;0.0;
SE5564584299;0.0;
NO995638169;0.0;
NO832005622;0.0;
NO930208868;0.0;
NO931936492;0.0;
NO916650906;0.0;
DK15134275;0.0;
NO838745512;0.0;
NO814217272;0.0;
SE5568400286;0.0;
NO983521592;0.0;
DK36490896;0.0;
DK39192179;0.0;
DK25619978;1.0;
NO990728488;0.0;
NO995883422;0.0;
DK37116556;0.0;
DK36964480;0.0;
DK17118188;0.0;
DK13884676;0.0;
FI21324397;0.0;
SE5566549191;0.0;
NO991853995;0.0;
FI01170116;;
SE5565600797;;
DK64806815;;
NO832554332;;
FI27036142;;
NO990892040;;
NO816914582;;
SE5568982291;;
SE5566643531;;
SE5562309004;;
FI22466397;;
SE5562748458;;
SE5569614216;;
SE5569576290;;
NO977041244;;
DK36708212;;
DK10152380;;
SE5569993958;;
DK45801012;;
NO937887043;;
NO920058817;;
NO912651045;;
DK39178095;;
NO996225127;;
NO947278770;;
NO837900212;;
NO937885377;;
NO937888570;;
NO924507500;;
NO837886252;;
SE5590111893;;
NO991303995;;
NO937901291;;
SE5565949707;;
NO912764729;;
NO937900953;;
NO916331088;;
DK26387159;;
SE5569622441;;
NO915287700;;
SE5568196041;;
DK38292714;;
NO937902719;;
NO937884672;;
NO998497884;;
FI24868197;;
NO937903979;;
SE5566730585;;
DK36684828;;
NO998543320;;
FI25687822;;
NO990323429;;
NO914350956;;
SE5563600674;;
DK67020618;;
NO971227222;;
SE5560118043;;
DK38915711;;
SE5566066832;;
SE5563172310;;
SE5590031463;;
SE5568762578;;
NO982503868;;
NO919061545;;
DK34045771;;
DK13898537;;
FI25592188;;
SE5569330961;;
SE5590450291;;
NO937893833;;
NO937894082;;
DK35476695;;
SE5560902115;;
SE5560033283;;
NO991853545;;
NO937902085;;
SE5567259980;;
DK89805910;;
DK38146041;;
NO937888759;;
SE5569629404;;
DK32263305;;
DK40713816;;
SE5568129414;;
DK37625930;;
NO979702612;;
NO937886160;;
NO937894627;;
FI23214677;;
NO914864445;;
NO971171324;;
SE5564996311;;
NO937905378;;
SE5569833204;;
FI27036142;1.0;
SE5569622441;1.0;
NO979702612;0.0;
DK35476695;0.0;
NO864936792;0.0;
NO913460715;0.0;
NO937903979;0.0;
DK45801012;0.0;
SE5568982291;0.0;
NO993821837;0.0;
DK36684828;0.0;
DK64806815;0.0;
SE5565949707;0.0;
FI22466397;0.0;
NO912764729;0.0;
SE5568762578;0.0;
FI01170116;0.0;
SE5590111893;0.0;
NO990892040;0.0;
SE5569577728;0.0;
SE5567259980;0.0;
FI25307148;0.0;
SE5569576290;0.0;
DK28842546;0.0;
SE5560033283;0.0;
DK38915711;0.0;
DK36982837;1.0;
DK38146041;0.0;
FI25687822;0.0;
SE5590935176;0.0;
SE5568581135;0.0;
NO998497884;0.0;
