Firmnav ID;Rating;AI search
DK25013719;1.0;Initial
DK66309711;1.0;Initial
DK26603420;;Initial
SE5563871366;0.0;
DK27526357;0.0;
DK21514632;1.0;
FI18407933;0.0;
DK32278582;0.0;
DK76165319;;
NO858529972;0.0;
SE5563546356;0.0;
DK34228876;;
DK32272258;0.0;
FI19508525;1.0;
DK32272223;0.0;
DK19189511;1.0;
DK35386580;0.0;
NO940970172;1.0;
DK79104213;1.0;
FI04779576;0.0;
DK30714830;1.0;
DK78930128;0.0;
SE5566549712;0.0;
DK64925318;1.0;
DK32466664;0.0;
DK33786646;1.0;
DK25834844;0.0;
DK37857599;0.0;
DK20283009;0.0;
FI20652495;0.0;
SE5569121279;0.0;
FI24187113;0.0;
DK76547610;0.0;
DK37857769;0.0;
DK37773743;0.0;
DK37773727;0.0;
DK29177538;0.0;
DK13552649;0.0;
DK73518016;0.0;
DK14307184;0.0;
DK37633925;0.0;
DK37376701;0.0;
NO979415117;0.0;
NO930124753;0.0;
NO910507451;0.0;
SE5565963617;0.0;
NO995165864;1.0;
NO920460585;1.0;
FI16018029;0.0;
DK55531919;0.0;
DK38806912;;
DK20166800;;
SE5564861077;;
DK32664083;;
DK27673139;;
DK17045636;;
DK13427739;;
DK21511943;;
DK11757235;;
DK31171997;;
DK38150448;;
DK37157031;;
DK78047216;;
DK14263942;;
DK89523818;;
DK33968981;;
DK33969376;;
FI06317818;;
DK31765013;;
DK39893932;;
FI24806615;;
DK21587915;;
SE5567489207;;
DK29183449;;
DK10417430;;
SE5566037619;;
DK40116591;;
DK11423418;;
DK33582935;;
DK51491416;;
DK33508670;;
DK36684461;;
FI29166522;;
DK31252199;;
DK32774970;;
DK38795120;;
DK29312273;;
SE5562377308;;
FI23927749;;
DK78834412;;
FI16112357;;
DK11576494;;
DK37585971;;
SE5560276635;;
SE5566329594;;
DK18426730;;
DK27931790;;
SE5565781118;;
DK65586215;;
SE5564124070;;
FI28655252;;
DK14252398;;
NO917984824;;
DK29973342;;
DK32652247;;
DK73399815;;
DK59388517;;
DK36501731;;
DK25926196;;
DK18297647;;
DK36559241;;
DK26686997;;
SE5560799834;;
FI08550592;;
NO988928178;;
DK28847920;;
SE5562227867;;
FI07730065;;
DK10701732;;
DK36533501;;
NO977351022;;
DK27264913;;
SE5560375791;;
DK35388737;;
FI01448931;;
DK31421705;;
DK30590848;;
DK27288138;;
DK12070942;;
SE5565396966;;
DK38070177;;
SE5565343562;;
SE5564789914;;
FI26832075;;
DK41400994;;
DK24211770;;
SE5561033878;;
SE5568690704;;
FI23735050;;
DK21293288;;
DK21082643;;
SE5566303318;;
DK24977722;;
FI10060779;;
DK18408244;;
FI14925282;;
SE5591465355;;
NO988928178;0.0;
DK76165319;1.0;
DK34599203;1.0;
DK13534381;1.0;
NO983815146;1.0;
DK29973342;1.0;
DK15992093;0.0;
DK38493078;0.0;
DK25627121;0.0;
DK26494893;1.0;
DK33363192;0.0;
SE5566843669;1.0;
DK24211770;1.0;
NO942256183;1.0;
DK12616406;0.0;
SE5561445163;1.0;
DK89523818;1.0;
NO993290106;0.0;
FI18091246;0.0;
SE5563785608;0.0;
NO918719547;0.0;
NO980855260;0.0;
DK31598974;1.0;
DK26749077;0.0;
DK10701732;1.0;
DK10702437;0.0;
NO975965260;0.0;
SE5560402157;1.0;
NO998229391;0.0;
NO913200586;0.0;
SE5563074805;0.0;
DK37585971;1.0;
DK40310649;1.0;
SE5568760960;0.0;
DK83126914;1.0;
NO988014036;0.0;
DK25898788;0.0;
FI27071589;0.0;
NO920320244;0.0;
DK24230430;0.0;
NO996287254;1.0;
FI07561927;0.0;
FI21615629;0.0;
FI02198874;0.0;
DK24211533;0.0;
SE5567489207;0.0;
NO921828934;0.0;
DK27422187;0.0;
NO916784430;0.0;
DK32664083;0.0;
NO986532188;1.0;
NO922090092;0.0;
NO975967158;0.0;
DK25815955;0.0;
NO993163880;0.0;
DK71003515;0.0;
FI21206163;0.0;
DK76038317;0.0;
FI01746357;0.0;
