Firmnav ID;Rating;AI search
DK39831589;1.0;Initial
DK33492782;1.0;Initial
DK32283233;1.0;Initial
DK29205272;1.0;Initial
DK19723941;1.0;Initial
DK28326270;0.0;
DK30904265;0.0;
NO981586581;0.0;
DK64620614;0.0;
DK38596160;0.0;
NO983058892;;
DK58695017;0.0;
DK30719123;0.0;
DK30518802;0.0;
DK38137069;0.0;
DK35649824;1.0;
DK40603794;;
DK67294815;1.0;
DK40107142;1.0;
DK13122806;0.0;
NO916742479;0.0;
DK76840415;1.0;
NO965603441;0.0;
DK32100341;0.0;
DK18411709;1.0;
FI17402786;1.0;
DK28505035;1.0;
DK35648429;1.0;
DK21784699;1.0;
DK29819025;0.0;
DK27569900;0.0;
NO914313902;1.0;
DK15342137;1.0;
DK35679472;1.0;
DK30921941;1.0;
DK21297690;0.0;
DK35226958;0.0;
DK34755116;1.0;
DK35056475;0.0;
DK39127954;1.0;
NO922937303;;
DK38108123;0.0;
DK40290486;0.0;
DK30688899;0.0;
DK24253872;0.0;
FI15428384;1.0;
SE5564911500;1.0;
DK38294733;1.0;
DK27253083;1.0;
SE5567366439;0.0;
DK33503903;;
NO993587249;;
DK26893089;;
SE5566148093;;
NO913870379;;
SE5561241844;;
SE5562753987;;
DK38304771;;
DK28854846;;
DK10520495;;
DK32277802;;
DK38223895;;
DK38522949;;
DK42176672;;
DK60425914;;
DK38881809;;
DK12225385;;
NO998339898;;
SE5569042590;;
DK37385441;;
FI23444595;;
DK35677895;;
FI10852055;;
DK19270742;;
DK27584993;;
DK26681421;;
DK33783027;;
SE5567724751;;
DK28708033;;
FI05865644;;
SE5565093449;;
SE5566038948;;
SE5566712278;;
SE5567811202;;
SE5569753998;;
SE5562721091;;
DK29413665;;
DK37745014;;
SE5567534002;;
SE5566538343;;
SE5592096472;;
SE5561234070;;
FI21794380;;
SE5564686144;;
DK36963166;;
NO977077281;;
DK18224585;;
SE5567341432;;
FI06782402;;
FI23268528;;
FI20394043;;
SE5564705381;;
SE5569469827;;
NO916637845;;
DK35032959;;
DK82634916;;
SE5569149098;;
NO912173771;;
NO915188044;;
DK15451505;;
SE5565156923;;
DK27976832;;
SE5567865570;;
DK86986213;;
SE5561017715;;
DK14300902;;
SE5567359541;;
FI02430557;;
DK18093987;;
FI24976737;;
NO950167866;;
SE5564690880;;
NO984668910;;
FI10981164;;
DK17292374;;
NO998339596;;
DK37248819;;
DK37281107;;
FI01949023;;
NO921399219;;
SE5567377097;;
DK66656128;;
NO884135222;;
DK30594797;;
DK38189646;;
SE5569563082;;
NO989177338;;
DK79155128;;
SE5565996096;;
NO980153304;;
DK25272579;;
FI01372367;;
DK32344097;;
DK35411038;;
SE5564332210;;
DK18261634;;
DK27920691;1.0;
DK17775693;0.0;
DK39445328;1.0;
DK39840154;1.0;
DK14345507;1.0;
NO983058892;1.0;
NO993288330;0.0;
DK26866278;1.0;
DK26738466;1.0;
DK33503903;1.0;
DK33639457;1.0;
DK33876416;1.0;
DK26893089;1.0;
DK28854846;0.0;
DK39695863;0.0;
DK32277802;1.0;
DK19270742;1.0;
DK30603117;0.0;
DK40183825;1.0;
DK26681421;1.0;
SE5567534002;0.0;
DK10060842;1.0;
DK31410800;1.0;
SE5564686144;1.0;
DK33783027;0.0;
