Firmnav ID;Rating;AI search
DK37990485;1.0;Initial
DK32466249;1.0;Initial
DK32287840;1.0;Initial
DK32080693;1.0;Initial
DK30590627;1.0;Initial
DK29850941;1.0;Initial
DK29608792;1.0;Initial
DK26903688;1.0;Initial
DK25781996;1.0;Initial
DK29627452;1.0;
DK33079974;1.0;
DK25556046;1.0;
DK30065433;1.0;
DK27256686;1.0;
DK27370578;1.0;
DK19986888;1.0;
DK38323687;1.0;
DK37270261;1.0;
DK34694370;0.0;
FI29409133;1.0;
DK35476261;1.0;
DK37053171;0.0;
DK32453325;;
DK38434195;1.0;
DK28901151;1.0;
DK36697199;0.0;
DK40824804;1.0;
DK38108654;1.0;
DK38331930;0.0;
DK32945392;0.0;
DK39332299;;
DK38105566;0.0;
DK34616140;0.0;
DK36993979;0.0;
DK27199305;0.0;
DK37173843;0.0;
DK40171843;0.0;
DK32650376;0.0;
DK17745204;0.0;
DK37441104;0.0;
DK32453724;0.0;
DK28666993;0.0;
DK40096736;0.0;
DK37800902;0.0;
DK35641998;0.0;
DK21327972;0.0;
DK38633791;0.0;
DK37291013;0.0;
DK25699564;0.0;
DK40642757;0.0;
DK26463130;0.0;
DK39631067;;
DK36468939;;
DK37808024;;
DK11783597;;
DK32077862;;
DK28318170;;
DK37398683;;
DK33160666;;
DK33075693;;
DK32087132;;
DK32772854;;
DK30899741;;
DK38195360;;
DK39512904;;
DK34692041;;
NO912893596;;
DK28715358;;
DK30811941;;
FI16142935;;
DK32097847;;
DK32932843;;
DK35044922;;
DK35680489;;
SE5566374186;;
DK36893753;;
DK85232312;;
SE5591388680;;
DK36976551;;
DK25050541;;
DK25328949;;
DK27276105;;
SE5565768099;;
DK30087577;;
DK36936045;;
DK38593625;;
DK13249709;;
DK37950874;;
DK29814244;;
SE5567652762;;
SE5569733982;;
SE5569322521;;
DK27263607;;
SE5590407648;;
DK26133262;;
DK31894425;;
SE5568604283;;
DK12932375;;
DK27917240;;
NO993946885;;
SE5590070750;;
DK39880369;;
DK32344259;;
DK33042124;;
SE5566056700;;
DK39632667;;
DK39365855;;
SE5590649207;;
FI08589833;;
DK73727715;;
DK28890869;;
SE5566408455;;
SE5590023213;;
SE5566085089;;
DK33955782;;
DK36052910;;
DK33159765;;
SE5569474876;;
SE5569121675;;
SE5591260046;;
SE5590221684;;
SE5591537070;;
SE5592066152;;
SE5591729206;;
SE5566419098;;
DK36322071;;
SE5566943501;;
SE5591937205;;
NO975911195;;
SE5591216204;;
DK27632408;;
SE5564828407;;
SE5567828214;;
SE5590699400;;
DK24993981;;
DK18174545;;
DK39701197;;
SE5566968987;;
DK67268210;;
DK38109219;;
SE5566168687;;
SE5568024383;;
DK31743478;;
SE5591655518;;
DK26326095;;
SE5569061483;;
SE5568812571;;
DK32453325;;
DK39512904;0.0;
DK39631067;1.0;
DK29137900;1.0;
DK38195360;0.0;
DK35044922;0.0;
DK33075693;0.0;
DK36976551;0.0;
DK39238705;;
DK25167791;0.0;
DK85232312;0.0;
DK40026088;0.0;
DK26326095;0.0;
DK39332299;;
DK27276105;0.0;
DK30087577;0.0;
DK32097847;0.0;
SE5591388680;0.0;
DK28318170;0.0;
DK36052910;0.0;
DK33159765;0.0;
DK12932375;0.0;
DK32087132;0.0;
DK28715358;0.0;
DK27263607;0.0;
DK37398683;0.0;
DK30534166;0.0;
DK35680489;0.0;
DK29814244;0.0;
DK31894425;0.0;
SE5591729206;0.0;
DK31934990;0.0;
DK28890869;0.0;
DK33042124;0.0;
DK27479111;0.0;
