Firmnav ID;Rating;AI search
DK63965812;1.0;Initial
SE5569958126;1.0;Initial
SE5565466835;1.0;Initial
SE5564653185;1.0;Initial
SE5562584804;1.0;Initial
SE5560348590;1.0;Initial
SE5560263237;1.0;Initial
SE5560179367;1.0;Initial
SE5563029726;1.0;
DK81746710;1.0;
SE5562824556;1.0;
NO982791863;0.0;
SE5566333828;0.0;
DK20638613;0.0;
NO915620019;0.0;
SE5562913185;0.0;
SE5566171459;0.0;
SE5567706311;0.0;
SE5560482837;0.0;
SE5560083585;1.0;
NO914890519;1.0;
NO996739848;0.0;
SE5563921971;0.0;
SE5563748309;0.0;
DK38892304;1.0;
DK56813616;0.0;
SE5569280380;0.0;
DK20293195;1.0;
NO917099839;0.0;
SE5563255511;0.0;
DK89645417;0.0;
SE5566900808;0.0;
DK32468888;1.0;
FI17101289;0.0;
SE5561034249;0.0;
SE5568806235;1.0;
DK28843615;0.0;
SE5591606081;1.0;
NO988016683;0.0;
DK55188114;0.0;
SE5560307885;0.0;
SE5565282752;0.0;
DK28515901;0.0;
SE5590092382;0.0;
NO915768237;1.0;
SE5567307813;0.0;
FI16801419;0.0;
SE5590739487;0.0;
SE5567033062;;
SE5569036568;;
DK29615802;;
DK24994589;;
SE5560548165;;
DK35524355;;
SE5560479742;;
NO919734884;;
SE5560003575;;
SE5563088144;;
SE5565420824;;
DK30500849;;
SE5590375951;;
DK26081793;;
SE5563366292;;
SE5569827115;;
SE5591310841;;
NO915155995;;
SE5561979732;;
FI15055557;;
SE5560804592;;
SE5560081621;;
FI06934947;;
SE5568785538;;
SE5560150756;;
FI25514542;;
NO938992185;;
SE5565112991;;
SE5560434200;;
DK10824087;;
FI01956813;;
SE5569871089;;
SE5567031702;;
FI10041295;;
SE5560568817;;
NO929633504;;
SE5565326443;;
DK10417430;;
SE5561904771;;
SE5562241892;;
FI08410661;;
DK29215146;;
FI15477987;;
DK73588014;;
SE5561149138;;
NO995435705;;
DK13235686;;
NO930567647;;
SE5567066724;;
FI01490726;;
NO917289387;;
SE5560389321;;
SE5560330788;;
SE5567213078;;
SE5566108055;;
NO989837877;;
SE5562097146;;
SE5563027241;;
SE5565826558;;
FI29318055;;
NO976605713;;
SE5565889739;;
DK39296438;;
DK21552631;;
DK34350361;;
NO914778271;;
DK25698851;;
SE5560126293;;
SE5566937404;;
DK39427958;;
SE5590260815;;
DK71186911;;
SE5566012679;;
DK21153702;;
SE5560016122;;
SE5565260592;;
FI05454562;;
SE5565010997;;
NO981413156;;
DK65586215;;
NO999224091;;
DK67758919;;
DK28100973;;
SE5560368507;;
SE5568048598;;
FI09899489;;
DK19625087;;
SE5569945792;;
DK29400997;;
SE5562746726;;
SE5568247570;;
SE5568727134;;
NO994547852;;
SE5566942974;;
SE5564464286;;
NO913748174;;
FI01821409;;
SE5565554317;;
NO990646066;;
DK36077719;1.0;
SE5561085688;0.0;
SE5562363076;1.0;
SE5591133755;0.0;
SE5560968744;0.0;
SE5567264121;0.0;
DK39736209;0.0;
SE5566498647;1.0;
DK33395361;0.0;
SE5561577288;0.0;
SE5560337528;1.0;
DK10015561;0.0;
DK18936674;0.0;
SE5565521183;0.0;
SE5566002514;0.0;
NO989837877;0.0;
SE5560356163;0.0;
SE5561149138;0.0;
FI24595993;1.0;
SE5567235956;0.0;
DK15277092;0.0;
