Firmnav ID;Rating;AI search
NO919371536;1.0;Initial
NO917362394;1.0;Initial
SE5590158894;1.0;Initial
SE5560648304;1.0;Initial
DK38322656;1.0;Initial
DK30075277;1.0;Initial
DK32263062;1.0;
SE5567445118;0.0;
SE5568379902;0.0;
SE5563542843;1.0;
SE5563685246;0.0;
DK36708611;0.0;
DK38574914;1.0;
SE5590820964;0.0;
DK29388237;0.0;
SE5560275868;1.0;
DK13227500;0.0;
SE5565042941;1.0;
DK34092052;0.0;
SE5565996807;1.0;
SE5568511553;0.0;
FI04135690;0.0;
SE5569909566;0.0;
DK13785546;0.0;
DK55922012;0.0;
NO971182865;0.0;
FI06651672;1.0;
DK26933501;1.0;
SE5561979732;0.0;
SE5590743455;0.0;
SE5560371782;1.0;
FI09469366;0.0;
SE5567609978;0.0;
SE5567107916;0.0;
FI10590542;1.0;
DK14689605;1.0;
SE5560016064;0.0;
DK36705345;0.0;
SE5566272513;0.0;
FI20822597;0.0;
SE5563657054;1.0;
SE5561400333;1.0;
DK14306048;0.0;
DK10031826;0.0;
SE5567072425;0.0;
NO995729784;;
FI19299321;;
DK31936497;;
SE5563255511;;
SE5565556775;;
DK29616647;;
NO917289387;;
SE5563612604;;
DK28315694;;
DK20899506;;
SE5566474309;;
NO995541432;;
DK25267036;;
DK27587887;;
DK12245599;;
NO914769922;;
DK61126228;;
SE5562194679;;
DK30554256;;
DK32323510;;
SE5564454964;;
FI17134400;;
DK20077948;;
SE5560717877;;
SE5567900815;;
SE5562750009;;
FI01330255;;
NO917537550;;
SE5561424960;;
DK38892304;;
SE5568880743;;
FI09988676;;
FI26411588;;
FI17870723;;
FI20821316;;
NO943828008;;
NO982388406;;
SE5565091096;;
SE5590144035;;
DK19735974;;
SE5566222609;;
DK55188114;;
SE5560548165;;
SE5567556559;;
DK76486212;;
NO887448892;;
FI24677913;;
DK80149212;;
NO817431232;;
FI01490726;;
DK26837928;;
DK17184210;;
SE5565051983;;
SE5563554517;;
SE5591930903;;
DK30500849;;
DK30583442;;
DK31371716;;
SE5562486687;;
FI26398221;;
NO919409517;;
DK29134782;;
SE5568192321;;
SE5590505052;;
DK26014980;;
SE5569291957;;
SE5562503572;;
FI26656219;;
SE5591528632;;
SE5561156224;;
NO942216076;;
DK15223332;;
SE5568135379;;
SE5566618954;;
NO931866508;;
DK37260614;;
SE5592117799;;
FI17655142;;
SE5565260592;;
FI05454562;;
SE5565161352;;
DK25223330;;
SE5592322829;;
NO922184453;;
NO920197744;;
DK59647628;;
SE5562392463;;
FI01145682;;
SE5569865461;;
NO984461577;;
SE5569730749;;
SE5590895586;;
SE5561027680;;
DK38943952;;
DK38707701;;
FI22082932;;
NO980495302;;
NO916247389;;
DK89549418;;
DK33639287;0.0;
SE5562750009;0.0;
DK29526443;1.0;
SE5565299251;1.0;
SE5566474309;0.0;
SE5560391699;1.0;
DK32323510;0.0;
SE5561704015;1.0;
DK16684031;0.0;
NO913796640;1.0;
DK31371716;1.0;
SE5560625286;0.0;
FI26722466;0.0;
DK38107453;0.0;
NO971125756;1.0;
DK21511943;0.0;
NO931866508;0.0;
DK31074843;0.0;
FI09988676;1.0;
SE5561034249;0.0;
DK20899506;1.0;
SE5565838165;1.0;
FI06033807;0.0;
SE5566878962;0.0;
DK30545540;0.0;
FI24991064;0.0;
FI22082932;0.0;
FI26885089;0.0;
NO995541432;1.0;
SE5568375637;1.0;
SE5562510791;1.0;
DK34711739;1.0;
SE5591055354;1.0;
FI19299321;1.0;
SE5565355681;0.0;
SE5561375022;1.0;
FI09899489;0.0;
SE5568708100;0.0;
NO918858903;0.0;
SE5560125246;0.0;
SE5566446190;0.0;
FI09461129;0.0;
DK31604206;0.0;
DK10015561;0.0;
FI07476829;0.0;
FI20452813;1.0;
FI24177062;0.0;
SE5567968291;0.0;
DK20077948;0.0;
