Firmnav ID;Rating;AI search
NO920353908;1.0;Initial
SE5569224644;1.0;Initial
SE5561165308;1.0;Initial
DK35233806;1.0;Initial
DK33362099;1.0;Initial
DK30708059;1.0;Initial
DK30083121;1.0;Initial
DK29388237;1.0;Initial
FI23364632;1.0;Initial
DK13441243;1.0;Initial
DK38226835;1.0;
NO998593182;1.0;
FI24537742;1.0;
NO916823320;1.0;
SE5567689038;1.0;
SE5562627728;1.0;
FI21802985;1.0;
NO999507085;1.0;
SE5565912465;1.0;
DK26499879;1.0;
DK36558164;1.0;
SE5568301351;1.0;
DK37664308;1.0;
SE5590023767;1.0;
DK30720377;1.0;
SE5590770714;1.0;
FI27847551;1.0;
NO931035584;1.0;
DK24210022;1.0;
DK40603050;1.0;
FI15720406;1.0;
SE5565896163;1.0;
DK75078811;1.0;
SE5565061198;1.0;
DK10047560;1.0;
DK36047984;1.0;
SE5569168635;1.0;
DK36979372;1.0;
SE5567887046;1.0;
SE5566275342;1.0;
NO985586632;1.0;
FI28208305;0.0;
FI25904137;1.0;
NO990618976;1.0;
DK36718684;;
FI24476134;;
FI17546683;;
DK29918651;;
SE5567884183;;
DK12948700;;
DK39899132;;
DK38102885;;
NO966783613;;
DK38796755;;
SE5569883787;;
DK34728143;;
DK35404686;;
SE5569052466;;
DK32290094;;
DK31857724;;
DK13680531;;
DK34614121;;
SE5566989447;;
DK32093779;;
SE5590698865;;
DK37888133;;
DK38816233;;
DK37442976;;
SE5562008531;;
SE5567898464;;
FI24556783;;
DK26161983;;
DK26837928;;
DK62580828;;
NO815244672;;
FI28362206;;
DK26895502;;
DK27489524;;
FI21192718;;
FI01100812;;
NO916752857;;
SE5565375812;;
DK38109677;;
DK40112456;;
FI09469366;;
NO990625069;;
DK32880053;;
DK34897409;;
SE5565156600;;
FI16458892;;
FI07108372;;
DK38306979;;
NO916110561;;
DK38887068;;
DK25559177;;
DK38984594;;
SE5564113651;;
DK31366038;;
DK32472362;;
DK40222472;;
SE5590624275;;
DK15108908;;
SE5565963773;;
SE5562131614;;
SE5591914139;;
NO813564572;;
SE5562144054;;
SE5563789568;;
DK36450983;;
DK25598008;;
SE5565973848;;
SE5565042941;;
SE5590418397;;
NO918837000;;
SE5568031982;;
DK36041609;;
SE5591233340;;
FI24171015;;
FI27705983;;
NO966011726;;
NO983751008;;
FI26512813;;
SE5592389471;;
FI19121187;;
FI09178446;;
DK35473025;;
DK33358350;;
FI25796914;;
DK38262459;;
SE5562014257;;
DK36967226;;
NO914085837;;
DK25106792;;
DK29772843;;
FI26002688;;
DK40506918;;
DK32440975;;
NO993284076;;
FI28180461;;
FI28089617;;
SE5567553036;;
FI21174499;;
FI24214580;;
SE5569052466;1.0;
SE5590780598;1.0;
DK38102885;0.0;
SE5590698865;0.0;
SE5566989447;1.0;
DK24998193;1.0;
DK36927399;1.0;
DK66681912;1.0;
DK35404686;1.0;
FI21192718;1.0;
DK32093779;1.0;
DK29918651;1.0;
NO912609952;0.0;
DK62580828;1.0;
DK32290094;1.0;
DK36718684;1.0;
FI07108372;1.0;
DK38887068;1.0;
SE5565375812;1.0;
DK13680531;0.0;
NO916752857;1.0;
FI01100812;1.0;
DK38796755;0.0;
FI24556783;1.0;
SE5590624275;0.0;
NO990625069;1.0;
FI17375650;1.0;
FI21174499;1.0;
DK31891892;1.0;
DK22166514;1.0;
DK31857724;1.0;
DK34614121;1.0;
DK40222472;1.0;
DK25638425;1.0;
