Firmnav ID;Rating;AI search
NO963082185;1.0;Initial
DK84321710;1.0;Initial
SE5590716618;1.0;Initial
SE5567108948;1.0;Initial
DK37245933;1.0;Initial
DK35414053;1.0;Initial
DK28148143;1.0;Initial
DK40526889;1.0;
FI29007134;1.0;
FI27982585;0.0;
DK27361110;1.0;
FI20553956;1.0;
NO961095026;0.0;
DK34901902;1.0;
FI21957020;1.0;
FI21870953;1.0;
SE5565388674;0.0;
NO813564572;0.0;
SE5567377121;0.0;
DK25244362;0.0;
NO997962222;0.0;
SE5566527148;0.0;
SE5568182710;0.0;
SE5590198700;0.0;
NO920901336;0.0;
FI02241385;0.0;
NO989024183;1.0;
DK39175614;1.0;
NO979157886;1.0;
FI10006115;1.0;
DK36074078;1.0;
NO985226776;0.0;
SE5569296634;0.0;
FI17383298;1.0;
SE5566806187;1.0;
SE5569556656;0.0;
DK15263903;1.0;
DK36960388;0.0;
FI19761205;1.0;
NO976389387;0.0;
SE5566887138;1.0;
FI27760894;0.0;
SE5568521669;0.0;
NO986404686;0.0;
FI10525214;0.0;
SE5591161574;1.0;
SE5566937644;0.0;
SE5566839717;0.0;
SE5562068956;0.0;
SE5560923053;0.0;
SE5568167810;1.0;
DK31627885;;
NO994602497;;
DK25606965;;
DK32672639;;
SE5563421592;;
SE5567925671;;
NO912361322;;
NO994350811;;
SE5566623293;;
DK36034009;;
FI20175481;;
NO986817840;;
SE5566367248;;
SE5567770200;;
DK25264800;;
NO943574537;;
DK39194864;;
FI15793816;;
NO945757647;;
DK37498092;;
FI26452304;;
DK34490627;;
SE5569430118;;
DK36016485;;
SE5566379201;;
DK25804759;;
SE5568951064;;
SE5590710793;;
NO988975192;;
SE5560840315;;
SE5591292544;;
NO854118382;;
DK32361684;;
DK36065982;;
SE5563921971;;
SE5590180617;;
SE5566303227;;
NO989551434;;
DK34878374;;
NO919637226;;
SE5569162372;;
FI21208978;;
DK34475334;;
SE5592168214;;
DK39441934;;
SE5560712746;;
FI23700165;;
SE5567530273;;
SE5563419182;;
FI27336794;;
SE5567632699;;
DK10035511;;
SE5569794471;;
FI10534524;;
DK35209352;;
DK39832771;;
DK19071472;;
FI09196660;;
DK21861235;;
SE5590632757;;
NO995729784;;
DK40222472;;
FI19610802;;
FI19997285;;
SE5568494180;;
NO991557261;;
SE5591703334;;
NO916831889;;
FI23942981;;
FI29532385;;
FI02170994;;
DK33858663;;
NO984145047;;
SE5566094453;;
SE5590730833;;
DK35029001;;
FI09251201;;
DK26280397;;
NO945806907;;
NO871579792;;
NO990618976;;
SE5567327167;;
DK34705720;;
FI24315779;;
NO942458568;;
NO992093609;;
FI24776970;;
FI17187676;;
FI20843582;;
SE5567804983;;
FI22730389;;
DK35841040;;
DK25533267;;
DK29804370;;
FI10617856;;
DK39058073;;
NO913966910;;
DK35142207;;
FI09899489;;
DK30504860;1.0;
NO999661262;1.0;
SE5569441180;0.0;
DK30579712;1.0;
FI22176170;1.0;
NO823192452;0.0;
DK14259430;1.0;
SE5567833859;1.0;
SE5591292544;1.0;
FI26452304;1.0;
NO997914066;0.0;
FI23942981;1.0;
NO991600876;1.0;
DK39194864;0.0;
NO989847775;1.0;
FI22730389;1.0;
SE5566681978;0.0;
DK32672639;1.0;
SE5567770200;0.0;
SE5561607481;1.0;
NO920806708;0.0;
SE5566094453;0.0;
SE5590561451;0.0;
NO994602497;0.0;
DK34490627;1.0;
SE5565710612;1.0;
DK34895708;0.0;
NO945757647;0.0;
DK17514598;0.0;
FI24890343;1.0;
DK32667309;0.0;
NO916831889;0.0;
NO813011662;0.0;
SE5591103329;0.0;
FI19997285;1.0;
SE5564799475;1.0;
DK35647880;1.0;
NO883603362;1.0;
