Firmnav ID;Rating;AI search
NO997770234;1.0;Initial
SE5592300445;1.0;Initial
SE5591013734;1.0;Initial
SE5590152772;1.0;Initial
SE5569232837;1.0;Initial
SE5568823842;1.0;Initial
SE5566917547;1.0;Initial
FI25347334;1.0;Initial
DK24216209;1.0;Initial
NO966232315;1.0;
SE5565518932;1.0;
SE5591095715;1.0;
SE5565029062;1.0;
SE5590691787;1.0;
DK33597142;1.0;
SE5590197462;1.0;
SE5592143316;1.0;
SE5568873763;1.0;
DK30564235;1.0;
SE5567213078;1.0;
SE5567799654;1.0;
SE5566951249;1.0;
SE5565584496;1.0;
SE5591723019;1.0;
FI17367343;1.0;
FI28326248;1.0;
FI22295954;1.0;
SE5569945792;1.0;
SE5590895750;1.0;
FI29156367;1.0;
SE5568088198;1.0;
SE5568844764;1.0;
DK38662147;1.0;
SE5567722474;1.0;
SE5565826558;1.0;
SE5590093869;1.0;
FI16140921;1.0;
FI24694422;1.0;
DK33595123;1.0;
DK35664254;1.0;
SE5567435275;1.0;
SE5568993967;1.0;
SE5569642969;1.0;
SE5591548721;1.0;
SE5569712424;;
DK34091552;;
DK38330438;;
DK29240299;;
SE5590556865;;
FI23532763;;
FI10172789;;
DK30719913;;
SE5566340047;;
SE5567787691;;
DK37650706;;
FI27619305;;
SE5590096292;;
SE5566674759;;
FI29872857;;
FI23365096;;
SE5567364970;;
SE5567160246;;
DK35482679;;
SE5590098199;;
SE5567444384;;
SE5568138589;;
DK38831976;;
SE5563099158;;
NO918823948;;
SE5568458763;;
DK33384807;;
SE5561804161;;
SE5569182289;;
FI25508054;;
SE5568768856;;
DK76247218;;
DK13612870;;
DK40522743;;
FI22639040;;
NO989030760;;
DK27602304;;
SE5568013170;;
DK25210980;;
FI10020128;;
SE5568297666;;
SE5568521602;;
DK35646507;;
FI21390298;;
DK20887397;;
FI20848308;;
SE5590426366;;
SE5568745185;;
SE5569398117;;
FI27829732;;
SE5590522214;;
SE5565774725;;
DK13513074;;
DK34695881;;
DK34880522;;
SE5565326443;;
SE5569665820;;
SE5564601812;;
SE5566404769;;
DK52145015;;
DK25688163;;
SE5569321416;;
DK36478381;;
SE5566244934;;
SE5591379614;;
DK34711739;;
DK38541161;;
NO997254953;;
SE5569006538;;
SE5565724282;;
SE5591284731;;
SE5562919208;;
NO818813082;;
SE5592190259;;
SE5563868669;;
FI23437416;;
DK29696772;;
NO999093760;;
NO915262767;;
NO957485030;;
DK28716958;;
NO891960662;;
NO993045322;;
NO967993662;;
SE5567659031;;
SE5563717585;;
SE5562298322;;
SE5590252226;;
SE5590737069;;
SE5567505168;;
FI23205578;;
SE5568129802;;
FI22616033;;
SE5590214945;;
SE5569294282;;
FI25757448;;
SE5568957566;;
SE5564829124;;
SE5569415093;;
DK37650706;1.0;
SE5590098199;1.0;
SE5567787691;1.0;
FI23365096;1.0;
FI09074591;0.0;
SE5566340047;0.0;
DK29240299;1.0;
DK38831976;1.0;
FI27619305;1.0;
NO991066675;0.0;
SE5591284731;0.0;
SE5569712424;1.0;
DK34081506;1.0;
SE5568521602;1.0;
SE5564811973;0.0;
FI10172789;1.0;
SE5568043524;1.0;
DK20887397;1.0;
FI25508054;1.0;
SE5568138589;0.0;
SE5568768856;0.0;
FI10020128;1.0;
SE5568198401;1.0;
NO997254953;1.0;
DK31269008;1.0;
NO979867654;0.0;
DK13513074;1.0;
NO989030760;1.0;
DK25210980;0.0;
SE5569950180;1.0;
FI25573112;0.0;
DK84853410;1.0;
SE5567796544;1.0;
SE5568297666;1.0;
DK31177626;1.0;
NO918823948;0.0;
