Firmnav ID;Rating;AI search
NO980540138;1.0;Initial
SE5566012315;1.0;Initial
DK39426072;1.0;Initial
DK38754645;1.0;Initial
DK38556134;1.0;Initial
DK37228796;1.0;Initial
DK29516308;1.0;Initial
DK28295499;1.0;Initial
FI23700165;1.0;Initial
FI21283126;1.0;Initial
SE5591139745;1.0;
SE5566157821;1.0;
SE5565870887;;
NO987399066;1.0;
FI25918336;0.0;
NO879554802;1.0;
SE5569334633;1.0;
SE5569825283;1.0;
FI27482767;1.0;
NO992210028;1.0;
SE5568124209;0.0;
DK33589913;1.0;
DK31944937;1.0;
FI20377374;1.0;
FI27252961;1.0;
SE5567770200;1.0;
SE5590492210;0.0;
FI26630385;1.0;
SE5565942090;1.0;
FI23942981;0.0;
DK27599397;1.0;
NO917018944;1.0;
SE5590640826;1.0;
FI28894739;1.0;
DK39111632;1.0;
DK34603561;1.0;
DK32319696;0.0;
DK39144735;1.0;
FI10078063;1.0;
SE5568494180;1.0;
FI09224457;1.0;
NO886610602;0.0;
SE5566196704;0.0;
NO990904871;0.0;
SE5568490832;1.0;
FI20675320;;
SE5567027361;;
DK41980974;;
DK28686277;;
FI07612464;;
FI20628401;;
SE5569674608;;
DK35670637;;
FI21539603;;
DK29306931;;
DK34801525;;
DK35029001;;
DK25804759;;
FI26883112;;
SE5591960827;;
SE5561607481;;
SE5567013072;;
SE5569019861;;
FI27404451;;
SE5591053136;;
FI27976898;;
SE5568128184;;
FI17900152;;
SE5591043301;;
DK32064701;;
DK12498683;;
SE5590617063;;
DK33874529;;
SE5567341598;;
SE5563953701;;
SE5591304406;;
DK35416811;;
DK37245933;;
FI29157108;;
DK14259430;;
SE5591171219;;
DK36034009;;
FI20175481;;
SE5568182710;;
DK38816489;;
FI15793816;;
SE5590232749;;
FI29532385;;
SE5568517832;;
DK21625744;;
NO996638324;;
DK29429634;;
DK13617570;;
DK36074078;;
DK32939848;;
SE5560479742;;
NO930185930;;
SE5568951064;;
NO998496497;;
NO987615664;;
DK39650134;;
DK37364843;;
SE5591399851;;
SE5568032048;;
NO989580353;;
SE5568573017;;
SE5569544470;;
FI22969429;;
SE5568386303;;
SE5566879994;;
FI27336794;;
DK29214689;;
DK37338109;;
FI28227987;;
SE5591486757;;
NO997962222;;
SE5569296634;;
SE5567034870;;
FI16447843;;
SE5567139067;;
SE5566136767;;
NO991125175;;
DK39573334;;
NO916363737;;
NO916939175;;
SE5562602317;;
FI21520937;;
SE5568079916;;
FI26391679;;
FI19880781;;
FI07992938;;
DK37272035;;
NO913657217;;
DK34224129;;
FI24169855;;
SE5592439102;;
NO916903065;;
SE5567714331;;
DK29425558;;
DK39387077;;
DK32147135;;
SE5568521669;;
NO887139342;;
DK24257630;;
FI17576532;1.0;
NO989091530;1.0;
DK34884374;1.0;
SE5590181078;1.0;
FI28152292;1.0;
SE5568869019;;
FI21264072;1.0;
SE5591043301;;
FI24738149;1.0;
SE5569629149;0.0;
NO979598122;0.0;
NO999548636;0.0;
SE5568915655;1.0;
FI20628401;0.0;
DK33358784;1.0;
DK30593065;;
DK32334059;0.0;
SE5590641444;1.0;
SE5562337229;1.0;
FI24621135;1.0;
FI26883112;0.0;
FI28670727;0.0;
FI07476570;0.0;
SE5565870887;0.0;
