Firmnav ID;Rating;AI search
SE5569607129;1.0;Initial
SE5568879984;1.0;Initial
SE5567548655;1.0;Initial
DK38292188;1.0;Initial
DK37295043;1.0;Initial
DK33749996;1.0;Initial
DK32317731;1.0;Initial
FI26811178;1.0;Initial
FI20907371;1.0;Initial
DK32097901;1.0;Initial
SE5560002320;1.0;
DK31179564;0.0;
FI15627519;0.0;
FI22779844;1.0;
DK37367605;1.0;
NO990631638;0.0;
DK35651551;1.0;
NO916390424;0.0;
SE5564360773;0.0;
DK28973853;0.0;
DK19003892;0.0;
SE5568837073;1.0;
NO937893833;0.0;
SE5567804348;1.0;
NO937902719;0.0;
NO837897912;0.0;
DK36476753;0.0;
SE5567321707;1.0;
DK34728720;0.0;
SE5561435214;0.0;
FI29122108;1.0;
SE5591875033;1.0;
DK14895876;0.0;
SE5568050271;0.0;
FI27248655;0.0;
FI21937564;0.0;
FI22410078;1.0;
DK19071472;0.0;
NO817244742;0.0;
DK14749292;0.0;
FI22883721;0.0;
NO937888570;0.0;
SE5565845889;1.0;
FI01934497;0.0;
DK26404703;0.0;
SE5591162523;0.0;
DK31268672;0.0;
DK25894375;0.0;
SE5567856306;;
DK71133214;;
DK21746398;;
DK16987344;;
NO994018884;;
NO916044801;;
DK33388551;;
NO937888937;;
NO937899319;;
FI27597046;;
FI01115141;;
NO937904029;;
SE5568326655;;
SE5591110225;;
DK21443107;;
DK36410876;;
DK28662785;;
DK38558862;;
SE5568857576;;
DK31612845;;
NO996007979;;
NO990535019;;
NO913765850;;
DK39923696;;
NO998166845;;
NO920900992;;
DK37964719;;
NO919041021;;
DK36937890;;
NO989630814;;
DK29613923;;
DK28855060;;
SE5566266242;;
SE5569573214;;
SE5567675284;;
NO914458528;;
SE5565600490;;
SE5563733905;;
DK31938422;;
SE5562031582;;
DK76140618;;
DK33079095;;
DK31276721;;
DK29615594;;
DK39053721;;
FI20376435;;
DK64865218;;
NO993417262;;
DK38808117;;
NO933646920;;
DK37231525;;
DK36953128;;
NO998333075;;
NO988257516;;
NO980325865;;
FI21210912;;
DK33573065;;
FI21243853;;
SE5564584299;;
DK28853149;;
DK39695022;;
DK36976969;;
FI07214992;;
DK38915711;;
DK40345116;;
SE5569442501;;
SE5566730585;;
DK32073506;;
NO980858073;;
DK38895540;;
NO919281790;;
FI27047925;;
NO992603615;;
SE5568711450;;
DK78510218;;
NO971171324;;
SE5568872062;;
DK35816321;;
FI05866348;;
DK79157511;;
DK37035084;;
FI24323592;;
FI18986058;;
DK36683279;;
DK36056924;;
DK26453550;;
FI18523029;;
FI08331832;;
FI22381131;;
DK32331246;;
DK29403473;;
NO993359696;;
SE5569145781;;
NO915202322;;
SE5562339423;;
DK34601372;;
SE5565661856;;
SE5568017155;;
SE5562788553;;
NO995073064;1.0;
DK28853149;1.0;
DK71133214;0.0;
DK36953128;1.0;
FI24865594;1.0;
DK16987344;1.0;
DK35243267;1.0;
NO913765850;1.0;
DK36444096;1.0;
DK29615594;1.0;
DK33784627;0.0;
SE5567856306;0.0;
FI24323592;0.0;
DK36410876;1.0;
SE5565600490;;
DK36683279;1.0;
DK33250940;0.0;
DK33064535;0.0;
NO919281790;0.0;
DK37447153;1.0;
DK38558862;1.0;
FI21210912;0.0;
NO994553607;1.0;
DK37231525;1.0;
SE5567368724;1.0;
DK37593486;1.0;
NO990535019;1.0;
DK39060108;1.0;
DK38915711;0.0;
DK31938422;1.0;
SE5567965651;0.0;
SE5568982192;1.0;
SE5566462858;1.0;
DK28847645;1.0;
DK39053721;0.0;
DK87614115;1.0;
SE5567800585;1.0;
SE5569573214;1.0;
SE5590894308;0.0;
DK25627261;0.0;
NO914083095;1.0;
