Firmnav ID;Rating;AI search
NO983190510;1.0;Initial
NO937270151;1.0;Initial
NO918719547;1.0;Initial
SE5592039050;1.0;Initial
DK39737752;1.0;Initial
DK37859087;1.0;Initial
DK37458678;1.0;Initial
DK36502339;1.0;Initial
DK35680829;1.0;Initial
DK35521585;1.0;Initial
DK35465529;1.0;Initial
DK34207283;1.0;Initial
DK30548701;1.0;Initial
DK28315694;1.0;Initial
DK21649880;1.0;Initial
NO979938799;1.0;Initial
DK26933048;1.0;
DK33873956;1.0;
SE5590111240;1.0;
FI22895941;1.0;
DK14689605;1.0;
SE5569853285;1.0;
DK38137271;1.0;
SE5568906159;1.0;
SE5567900815;1.0;
SE5566002977;1.0;
FI17977379;1.0;
NO919371536;1.0;
SE5567130116;1.0;
NO985277915;1.0;
FI07495341;1.0;
SE5566665468;1.0;
NO933134946;1.0;
NO992112832;1.0;
SE5563263598;1.0;
SE5563685246;1.0;
DK34477396;1.0;
SE5564293743;1.0;
DK25299086;1.0;
NO938992185;1.0;
FI23096826;1.0;
SE5565849824;1.0;
NO984207565;1.0;
DK29421331;0.0;
SE5565978862;1.0;
SE5568057029;;
FI24444079;;
FI25921252;;
FI25588461;;
FI21529552;;
FI23522215;;
FI06126835;;
DK37655708;;
SE5569224644;;
DK35808329;;
DK36558164;;
NO914077974;;
FI23476394;;
FI15779205;;
SE5563571115;;
NO993189820;;
SE5565814273;;
FI20021124;;
FI02167349;;
DK36469463;;
DK25397347;;
SE5566275151;;
SE5565269627;;
SE5564614831;;
SE5566886452;;
DK25020995;;
DK14306048;;
SE5561296855;;
SE5591816169;;
FI24972058;;
SE5560368168;;
SE5564301595;;
SE5562241918;;
NO991616969;;
FI22605238;;
FI09288071;;
SE5569146797;;
SE5565879185;;
DK36466871;;
DK89264618;;
DK28702612;;
FI17134400;;
FI20427239;;
FI07904424;;
SE5564454964;;
SE5564095221;;
DK35806458;;
NO986801235;;
SE5590871355;;
SE5568330871;;
SE5567392823;;
DK29616450;;
DK15524243;;
DK36700599;;
NO979975554;;
FI22565504;;
FI25952104;;
NO924782595;;
NO916752857;;
FI04598011;;
SE5561251942;;
SE5562486687;;
DK29616647;;
DK29221561;;
FI22932255;;
FI09024156;;
NO983298664;;
NO979671369;;
NO946973831;;
FI10092519;;
DK37308064;;
SE5560819194;;
NO912402355;;
NO976536320;;
NO914993040;;
SE5563824159;;
FI10712079;;
DK35646647;;
SE5562240944;;
SE5590775952;;
SE5568722879;;
SE5562392463;;
DK25000374;;
NO947720988;;
FI03556821;;
FI14925282;;
DK26398576;;
SE5561811034;;
DK76486212;;
SE5567478226;;
NO917537550;;
FI28870366;;
SE5564861077;;
DK40488340;;
DK13387540;;
SE5568708100;;
SE5568915390;;
DK33372043;;
FI06480674;;
SE5560325002;0.0;
NO915672795;0.0;
DK63053112;1.0;
SE5567598353;1.0;
FI24979778;1.0;
SE5565814273;1.0;
SE5591816169;1.0;
SE5567107916;1.0;
SE5569291957;1.0;
SE5560819194;0.0;
SE5563824159;1.0;
FI17134400;1.0;
SE5590871355;1.0;
SE5566379201;0.0;
SE5562241918;0.0;
FI09656604;0.0;
NO947720988;0.0;
DK29616450;1.0;
NO993189820;1.0;
SE5565339172;0.0;
SE5569742116;1.0;
DK36039264;1.0;
SE5564454964;1.0;
SE5567019210;1.0;
DK37655708;1.0;
SE5568722879;1.0;
SE5565637260;0.0;
SE5560368168;1.0;
NO990009317;0.0;
SE5568057029;1.0;
SE5569715641;1.0;
SE5565882635;1.0;
FI21529552;1.0;
SE5564728243;0.0;
SE5569865461;1.0;
NO917537550;1.0;
SE5561791079;0.0;
SE5565620712;0.0;
FI18247044;0.0;
NO976212142;0.0;
DK26398576;1.0;
DK27026222;1.0;
