Firmnav ID;Rating;AI search
SE5591203608;1.0;Initial
DK40934189;1.0;Initial
DK36082569;1.0;Initial
DK33952848;1.0;Initial
FI27306077;1.0;Initial
FI25867663;1.0;Initial
FI25557606;1.0;Initial
DK25357469;1.0;Initial
SE5566640263;1.0;
FI28208305;1.0;
SE5564664075;1.0;
SE5568020688;;
FI04238155;;
SE5568195985;0.0;
DK36044950;1.0;
DK11935680;1.0;
SE5590233226;1.0;
FI19815699;1.0;
DK40222472;1.0;
SE5590559794;1.0;
FI27203182;0.0;
SE5567122188;1.0;
NO982089549;0.0;
SE5562083435;1.0;
DK26143381;0.0;
DK21276308;1.0;
NO924328908;1.0;
DK34600856;0.0;
DK32652352;0.0;
DK26511682;0.0;
DK38063995;0.0;
SE5569035669;1.0;
SE5591146047;1.0;
DK32562760;0.0;
DK31170230;0.0;
DK39414384;0.0;
DK21780340;1.0;
FI08575685;0.0;
SE5567799209;0.0;
DK29521743;0.0;
SE5565348454;0.0;
FI06861637;1.0;
SE5567898472;0.0;
DK25267036;0.0;
DK40603050;0.0;
FI24556783;1.0;
NO992951338;0.0;
DK35517936;;
SE5566252622;;
DK29607427;;
DK71298515;;
DK27256597;;
FI24871580;;
DK38773739;;
SE5590012752;;
DK37648035;;
DK25434099;;
FI25416539;;
SE5590202395;;
FI24189119;;
SE5565885935;;
FI22283750;;
DK29973334;;
NO988418099;;
FI10538613;;
DK25499522;;
DK77357211;;
NO920124305;;
DK14782192;;
DK36055855;;
DK16275034;;
NO923743529;;
FI26356814;;
DK34477396;;
DK38568450;;
SE5560251851;;
SE5592322829;;
SE5561860874;;
SE5564722691;;
SE5563407468;;
SE5591661193;;
SE5564503711;;
SE5568262785;;
DK38693301;;
SE5567632699;;
NO916823320;;
SE5569635286;;
DK39605767;;
NO832538132;;
NO995251094;;
DK21627909;;
DK37439541;;
NO990130124;;
DK37524298;;
DK59046713;;
SE5562546746;;
FI27718223;;
NO922162980;;
SE5565601407;;
FI21156055;;
DK26042925;;
DK30545540;;
NO997865219;;
NO979489137;;
NO898444392;;
FI26831099;;
SE5569997769;;
SE5567390124;;
DK36489448;;
DK10161657;;
SE5560023763;;
SE5560923053;;
NO976886240;;
SE5591205561;;
SE5566004346;;
SE5566784103;;
DK37234052;;
SE5591791404;;
SE5565558011;;
DK11562639;;
SE5568852254;;
DK36688637;;
FI10267147;;
SE5560609447;;
NO943574537;;
FI28740262;;
FI09790141;;
SE5590187505;;
FI19235416;;
DK33864221;;
DK25188462;;
DK30806883;;
SE5565566535;;
SE5568871429;;
DK25448006;;
SE5564523453;;
SE5565831640;;
DK28498233;;
FI28851755;;
FI23467068;;
SE5568800188;;
SE5591527170;;
FI18128432;;
FI18291133;;
SE5565230744;1.0;
DK35517936;1.0;
DK27930565;1.0;
DK27256597;1.0;
NO920124305;1.0;
DK38693301;0.0;
DK77357211;1.0;
DK39122065;1.0;
DK36688637;1.0;
NO920951783;1.0;
DK33864221;1.0;
SE5566835012;1.0;
DK36055855;1.0;
FI21156055;0.0;
SE5560023763;1.0;
DK28295448;1.0;
SE5569635286;1.0;
SE5564503711;1.0;
SE5566252622;1.0;
NO988418099;1.0;
FI29431584;0.0;
NO990130124;1.0;
DK14782192;0.0;
SE5564372968;1.0;
DK37439541;1.0;
DK36957018;0.0;
