Firmnav ID;Rating;AI search
SE5590158894;1.0;Initial
DK37499919;1.0;Initial
DK36213728;1.0;Initial
DK10403782;1.0;Initial
DK32658202;1.0;
DK27210538;1.0;
SE5567147607;1.0;
DK40260374;1.0;
NO994967819;1.0;
SE5566757497;1.0;
NO819113912;1.0;
DK24620417;0.0;
SE5590681200;1.0;
FI25599785;1.0;
NO989653652;1.0;
FI29755319;0.0;
DK35408622;1.0;
NO821756162;1.0;
DK32648029;1.0;
DK32338852;0.0;
NO997870891;1.0;
SE5564532819;1.0;
NO917537550;1.0;
SE5564693116;0.0;
SE5566663422;1.0;
SE5566527148;1.0;
DK76486212;1.0;
DK32304966;0.0;
FI02131514;0.0;
FI06655497;0.0;
DK40664904;1.0;
DK39504308;0.0;
NO996968480;1.0;
SE5591418164;1.0;
NO913757424;1.0;
DK37655708;1.0;
FI27333016;0.0;
SE5569701377;1.0;
SE5591702112;1.0;
DK28713053;1.0;
SE5567255418;1.0;
DK28113951;0.0;
DK25490762;0.0;
SE5562746726;1.0;
DK25811879;;
DK25076818;;
DK38526162;;
NO985622914;;
DK33058578;;
DK75631812;;
NO990918546;;
DK25490339;;
DK14281746;;
DK39369478;;
NO916456077;;
SE5567119549;;
SE5567199699;;
DK37630187;;
DK25021614;;
DK36914793;;
DK66089215;;
FI22895941;;
NO983218180;;
SE5566783212;;
SE5566066048;;
DK10177847;;
DK41980974;;
DK26113539;;
DK35639128;;
SE5565568325;;
SE5567632483;;
SE5561357988;;
SE5567801336;;
NO921576609;;
SE5567991806;;
DK31597544;;
DK38893882;;
SE5562151133;;
DK30548701;;
NO994345486;;
DK38145584;;
FI22417472;;
FI27463072;;
DK29519196;;
SE5568071889;;
SE5566102496;;
SE5568925415;;
DK18974347;;
NO980407586;;
DK13256438;;
DK37844179;;
DK39268477;;
FI26491098;;
SE5567935217;;
FI02167349;;
FI23373133;;
FI16272406;;
SE5565334611;;
NO966528591;;
DK37262188;;
FI19787966;;
NO965825657;;
SE5568960941;;
DK29838879;;
DK33779496;;
SE5563675015;;
SE5567248876;;
SE5560469552;;
DK33760345;;
DK71288919;;
NO991299068;;
DK39678160;;
NO919371536;;
SE5566882683;;
NO917129436;;
SE5568495468;;
DK41482710;;
SE5560191750;;
DK26271886;;
DK37520934;;
DK29618046;;
FI04762520;;
DK37067997;;
DK37124559;;
FI24920928;;
SE5590522867;;
SE5565876439;;
SE5567208474;;
DK30006348;;
FI26790186;;
FI25182162;;
DK15649089;;
SE5568205214;;
DK29823960;;
DK10097924;;
NO980498646;;
FI26318834;;
FI27538855;;
SE5591249668;;
DK20238232;;
DK29915180;;
FI19503572;;
DK39054744;;
DK32334059;1.0;
DK29838879;1.0;
DK28118244;1.0;
NO921694466;1.0;
DK10110122;1.0;
DK38585118;1.0;
SE5569285793;1.0;
FI25148204;1.0;
DK27446485;1.0;
DK38410644;1.0;
DK37088307;1.0;
SE5567328942;1.0;
NO914540836;1.0;
NO993189820;1.0;
DK39314878;1.0;
DK36914793;1.0;
NO947313533;0.0;
DK56151419;1.0;
NO945020075;0.0;
DK37082007;1.0;
DK25490339;1.0;
