Firmnav ID;Rating;AI search
DK38601393;1.0;Initial
DK32339263;1.0;Initial
DK32263062;1.0;Initial
DK29212066;1.0;Initial
DK28713053;1.0;Initial
DK27491529;1.0;Initial
DK38526162;1.0;
DK32157688;1.0;
DK34614121;1.0;
DK66089215;1.0;
DK25730453;1.0;
DK25811879;1.0;
DK33964811;1.0;
NO821756162;;
DK32934986;1.0;
DK39067048;1.0;
FI26025644;1.0;
SE5562943323;0.0;
DK30235258;0.0;
DK20019972;1.0;
DK15380594;0.0;
DK31771420;0.0;
DK34205574;1.0;
NO977043697;0.0;
DK27387071;1.0;
DK27180663;0.0;
DK32278507;0.0;
DK28143893;1.0;
DK32842070;0.0;
DK15798416;;
DK35874313;1.0;
DK30567889;1.0;
DK40664904;1.0;
DK30493311;0.0;
DK28967543;0.0;
DK41045329;1.0;
SE5566757497;1.0;
DK31429293;0.0;
DK35376976;0.0;
DK38281585;0.0;
DK39545950;1.0;
DK24620417;0.0;
DK15524243;0.0;
DK31597544;0.0;
DK10060826;0.0;
DK37655708;1.0;
DK10097924;0.0;
DK13256438;0.0;
DK14281746;0.0;
NO994967819;;
SE5569979064;;
DK29404925;;
DK25558936;;
DK34607109;;
DK39700980;;
DK26225132;;
DK40260374;;
FI20447264;;
DK32152791;;
DK60787816;;
NO917537550;;
DK15200332;;
DK32670679;;
SE5568731920;;
DK20891386;;
DK76486212;;
DK14241035;;
DK39709074;;
FI23522215;;
DK29417318;;
DK88446011;;
DK12573545;;
DK39388685;;
SE5560400854;;
DK40070532;;
DK71078418;;
DK26866405;;
DK17736590;;
DK21645575;;
DK25809122;;
DK34726647;;
NO996600386;;
DK39972662;;
DK13891443;;
NO955706137;;
DK24730018;;
SE5562425578;;
DK29143609;;
DK31888948;;
DK36982071;;
DK33499299;;
DK35818014;;
DK32270433;;
DK29823960;;
SE5564304680;;
DK37285889;;
FI19787966;;
FI09212552;;
DK29614814;;
SE5562197664;;
NO988598976;;
NO977018846;;
DK18860988;;
SE5560469552;;
DK10371139;;
FI08991777;;
DK31166047;;
DK25324331;;
DK31432219;;
DK33760345;;
SE5568461643;;
DK76490511;;
DK35636803;;
DK37844179;;
NO980037185;;
SE5567848808;;
DK28101120;;
DK18175509;;
SE5561400333;;
NO914286336;;
DK39083930;;
SE5568006851;;
SE5566674916;;
SE5567261648;;
NO915645569;;
NO985958246;;
DK34208433;;
DK25487397;;
DK37597481;;
DK36482575;;
DK33779496;;
SE5564794831;;
NO980407586;;
NO887062552;;
DK15649089;;
DK25086414;;
DK29427984;;
DK30563328;;
NO990726833;;
SE5591656813;;
DK31253284;;
DK89549418;;
DK37932256;;
SE5568192321;;
DK25490762;;
SE5562008531;;
DK29526443;1.0;
DK58706116;1.0;
NO821756162;1.0;
DK33877315;0.0;
DK66821110;1.0;
DK28101120;1.0;
DK30515730;0.0;
DK26260477;1.0;
DK38682512;1.0;
DK26225132;0.0;
FI19787966;0.0;
DK63053112;0.0;
DK35851097;0.0;
DK35472215;0.0;
FI23971563;1.0;
DK37088307;1.0;
DK32091016;0.0;
DK83455128;1.0;
DK31888948;0.0;
DK29404925;1.0;
DK26866405;0.0;
DK29823960;0.0;
DK32877745;0.0;
FI20447264;1.0;
DK29616450;0.0;
DK32152791;1.0;
DK60787816;0.0;
DK34726647;1.0;
DK32298532;0.0;
